Apparel ID,Apparel Name,Image Assets,Image URLs,Type,Age Range,Size,Cloth Material,Prize Range,Top Wear or bottom Wear,Texture,Gender,Colour,Cloth Sleeves,Events,Matching Body Type,Matching Face Type,Skin tone Matching,Undertone Matching
APRL_441,Women's V-neck Sweater,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_213.jpg,Women's V-neck Sweater,Adults,M,Knit Blend,Mid-Range,Top wear,"Smooth knit, soft",Female,Magenta,Full sleeves,"casual, everyday, fall, winter","hourglass, pear, apple, rectangle","round, square, heart, rectangular","fair, light, olive, tan","cool, neutral"
APRL_442,Kaftan Dress,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_214.jpg,Kaftan Dress,Adults,Various,Crepe Blend,Mid-Range,Dress,"Smooth fabric, Intricate embroidery",Female,"Black, Gold","Full sleeves, Flared cuffs","party, wedding, formal, festive, traditional events","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_443,Men's Kurta with Nehru Jacket,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_215.jpg,Men's Kurta with Nehru Jacket,Adults,M,"Kurta: Cotton Blend, Jacket: Brocade",Mid-Range,Top wear,"Smooth fabric, Brocade pattern",Male,"White, Navy Blue, Gold","Kurta: Full sleeves, Jacket: Sleeveless","casual, festive, party, wedding, semi-formal","rectangle, apple, inverted triangle","oval, round, square","tan, olive, fair, light","warm, neutral, cool"
APRL_444,Women's Solid Leggings,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_216.jpg,Women's Solid Leggings,Adults,M,"Cotton Blend, Spandex",Low-Range,Bottom wear,"Smooth, Stretchy, Matte",Female,Orange,N/A,"casual, everyday, activewear","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_445,Embroidered Kaftan Dress,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_217.jpg,Embroidered Kaftan Dress,Adults,L,Satin Blend,Mid-Range,Dress,"Smooth fabric, Gold embroidery",Female,Royal Blue,Full sleeves,"formal, party, wedding, cultural events","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart","ebony, dark, tan, olive, fair, light","cool, neutral"
APRL_446,Floral Embroidered Abaya,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_218.jpg,Floral Embroidered Abaya,Adults,M,Polyester Blend,Mid-Range,Full body wear,"Smooth fabric, Embroidery",Female,Black,Full sleeves,"casual, formal, religious, cultural","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_447,Sequined Lehenga Choli,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_219.jpg,Sequined Lehenga Choli,Adults,L,"Velvet, Net",Mid-Range,"Top wear, Bottom wear","Smooth, Sheer, Embellished, Sequined",Female,Black,Sleeveless,"party, wedding, festive, formal","hourglass, pear, rectangle","oval, round, heart","fair, light, tan, olive, dark, ebony","warm, neutral, cool"
APRL_448,Men's Corduroy Pants,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_220.jpg,Men's Corduroy Pants,Adults,N/A,Corduroy,Mid-Range,Bottom wear,"Ribbed, Soft",Male,Brown,N/A,"casual, smart casual, everyday","rectangle, inverted triangle, apple","oval, round, heart","tan, olive, fair, light","warm, neutral"
APRL_449,Men's Bandhgala Suit,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_221.jpg,Men's Bandhgala Suit,Adults,Not specified,"Silk Blend, Jacquard",High-Range,"Top wear, Bottom wear","Jacquard, Embossed, Smooth fabric",Male,"Beige, White",Full sleeves,"wedding, party, festival, formal","rectangle, inverted triangle, apple, pear","oval, square, rectangular","fair, light, tan, olive","warm, neutral"
APRL_450,Men's Kurta with Band Collar,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_222.jpg,Men's Kurta with Band Collar,Adults,L,Silk Blend,Mid-Range,Top wear,"Smooth fabric, Textured striped pattern on chest",Male,"Coral, White",Full sleeves,"casual, party, wedding, festive, formal","rectangle, inverted triangle, apple, pear","oval, round, square, rectangular","fair, light, tan, olive, dark","warm, neutral"
APRL_451,Men's Puffer Jacket,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_223.jpg,Men's Puffer Jacket,Adults,L,Polyester Blend,Mid-Range,Top wear,"Quilted, Padded, Smooth fabric",Male,"Dark Green, Olive Green",Full sleeves,"casual, winter, outdoor, travel","rectangle, inverted triangle","oval, square, round","fair, light",neutral
APRL_452,Men's Thobe,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_224.jpg,Men's Thobe,Adults,L,Cotton Blend,Mid-Range,Full garment,Smooth fabric,Male,Light Beige,Full sleeves,"casual, daily wear, religious events","rectangle, inverted triangle, apple, pear","oval, round, square, rectangular","fair, light, olive, tan, dark","neutral, warm"
APRL_453,Embellished Modest Dress,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_225.jpg,Embellished Modest Dress,Not Specified,Chiffon Blend,Sequin Embellished,Mid-Range,Dress,"Smooth, Flowy, Sequined",Female,"White, Gold",Full sleeves,"formal, party, wedding, religious festivals, special occasions","hourglass, pear, apple, rectangle","oval, round, square","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_454,Embroidered Salwar Suit,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_226.jpg,Embroidered Salwar Suit,Adults,M,Cotton Blend,Mid-Range,Ethnic Suit,"Embroidered, Sheer fabric (dupatta), Floral pattern, Lace trim",Female,Pink,Full sleeves,"casual, party, festive, wedding, formal","rectangle, hourglass, pear, apple","oval, round, heart","fair, light, olive","neutral, cool"
APRL_455,Women's Embroidered Sharara Suit,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_227.jpg,Women's Embroidered Sharara Suit,Adults,,Georgette Blend,Mid-Range,"Top wear, Bottom wear","Smooth fabric, Intricate embroidery",Female,Magenta,Three-quarter sleeves,"Festive, Party, Wedding, Cultural events","rectangle, pear, hourglass, inverted triangle, apple","oval, round, square, heart, diamond, rectangular","fair, light, tan, olive","cool, neutral, warm"
APRL_456,Black Embroidered Salwar Suit,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_228.jpg,Black Embroidered Salwar Suit,Adult,M,Velvet Blend,Mid-Range,Suit Set,"Smooth, Embroidered",Female,"Black, Gold",Three-quarter sleeves,"party, wedding, festive, formal, seasonal","hourglass, pear, rectangle, inverted triangle","oval, round, heart, diamond","ebony, dark, tan, olive, fair, light","warm, neutral"
APRL_457,Embroidered Anarkali Gown,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_229.jpg,Embroidered Anarkali Gown,Adults,L,"Net, Georgette lining",Mid-Range,Anarkali Suit (Gown with Dupatta),"Intricate Embroidery, Sheer, Smooth fabric",Female,"Lime Green, White Embroidery",Full sleeves,"Wedding, Festive, Party, Sangeet, Engagement, Formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral"
APRL_458,Women's Printed Kurta Sharara Set with Dupatta,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_230.jpg,Women's Printed Kurta Sharara Set with Dupatta,Adults,M,Cotton Blend,Mid-Range,"Top wear, Bottom wear, Dupatta","Smooth fabric, Leheriya print, Striped",Female,"Pink, Coral, Yellow, Grey, White",3/4 sleeves,"casual, festive, party, summer wear","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","fair, light, tan, olive, dark","warm, neutral"
APRL_459,Embellished Kaftan,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_231.jpg,Embellished Kaftan,Adults,Free size,Chiffon,Mid-Range,Full length dress,"Smooth fabric, Heavy Embroidery, Beading",Female,Royal Blue,"Batwing sleeves, Full sleeves","Party, Festive, Wedding, Formal","rectangle, apple, inverted triangle, hourglass, pear","oval, round, square, heart","dark, olive, tan, fair, light","cool, neutral"
APRL_460,Embellished Kaftan/Abaya,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_232.jpg,Embellished Kaftan/Abaya,Adults,Free size,Chiffon,Mid-Range to High-End,Full-length dress,"Smooth fabric, Embroidered, Sheer sleeves",Female,"Black, Gold",Long,"Formal, Party, Festive, Cultural, Evening","hourglass, pear, apple, inverted triangle, rectangle","oval, round, heart","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_461,Embroidered Strapless Gown,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_233.jpg,Embroidered Strapless Gown,Adults,M,Georgette Blend,High-Range,Dress,"Smooth fabric, Heavy embroidery",Female,Emerald Green,Strapless,"formal, party, wedding, evening wear, special occasion","hourglass, pear, rectangle, apple, inverted triangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_462,Embroidered Kaftan Abaya,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_234.jpg,Embroidered Kaftan Abaya,Adults,L,Georgette Blend,Mid-Range,Dress,"Smooth fabric, Embroidery",Female,"Black, White, Gold",Full sleeves,"party, wedding, festive, formal, special occasion","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_463,Embroidered Kaftan Dress,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_235.jpg,Embroidered Kaftan Dress,Adults,Free Size,Crepe Blend,Mid-Range,Dress,"Smooth fabric, Heavy Embroidery",Female,"White, Gold",Full sleeves,"party, wedding, formal, festive, special occasions","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral"
APRL_464,Women's White Mock Neck Crop Top,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_236.jpg,Women's White Mock Neck Crop Top,Adults,M,Cotton Blend,Mid-Range,Top wear,Smooth fabric,Female,White,Sleeveless,"casual, athleisure, streetwear, everyday","rectangle, hourglass, inverted triangle","oval, rectangular, diamond","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_465,Women's Black Slim-Fit Leggings,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_236.jpg,Women's Black Slim-Fit Leggings,Adults,M,"Cotton Blend, Spandex",Mid-Range,Bottom wear,"Smooth fabric, stretchy",Female,Black,N/A,"casual, athleisure, streetwear, everyday, workout","hourglass, rectangle, inverted triangle, pear","oval, rectangular, diamond","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_466,Caftan Dress,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_237.jpg,Caftan Dress,Adults,Free size,Georgette Blend,Mid-Range,Full dress,"Smooth fabric, Intricate gold embroidery",Female,"Purple, Gold, White",Full sleeves,"party, wedding, formal, festive, traditional","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_467,Men's Nehru Jacket,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_238.jpg,Men's Nehru Jacket,Adults,L,Silk Blend,Mid-Range,Top wear,"Smooth fabric, slub",Male,Black,Sleeveless,"casual, party, wedding, formal, seasonal, traditional, semi-formal","rectangle, inverted triangle, apple","oval, rectangular, square","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_468,Men's Kurta,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_238.jpg,Men's Kurta,Adults,L,Cotton Blend,Mid-Range,Top wear,"Smooth fabric, subtle woven pattern",Male,White,Full sleeves,"casual, party, wedding, formal, seasonal, traditional, semi-formal","rectangle, apple, pear","oval, round, square","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_469,Women's Blouse,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_239.jpg,Women's Blouse,Adults,"S, M, L, XL",Art Silk,Mid-Range,Top wear,"Smooth, Shimmer, Plain",Female,Maroon,Sleeveless,"traditional, festive, wedding, party","hourglass, pear, rectangle, inverted triangle","oval, round, square","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_470,Women's Navy Blue Abaya with Gold Striped Cardigan,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_240.jpg,Women's Navy Blue Abaya with Gold Striped Cardigan,Adults,L,Polyester Blend,Mid-Range,Dress,"Smooth fabric, Vertical stripes, Gold metallic accents, Embroidery, Tassels",Female,"Navy Blue, Gold",Wide Kimono sleeves,"Party, Festive, Evening, Cultural events","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_471,Kaftan Abaya with Embroidery,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_241.jpg,Kaftan Abaya with Embroidery,Adults,Free Size,Georgette Blend,Mid-Range,Full-length dress,"Smooth fabric, Intricate embroidery",Female,"Black, White","Full sleeves, Batwing style","Formal, Party, Festive, Religious occasions, Special events","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_472,Lehenga Choli,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_242.jpg,Lehenga Choli,Adult,Not specified,"Silk, Brocade",Mid-Range,"Full outfit (Lehenga, Blouse, Dupatta)","Smooth, Woven, Embroidered",Female,"Green, Red, Gold, Multi-color",Elbow length sleeves,"wedding, festive, party, ceremonial","hourglass, pear, rectangle, inverted triangle","oval, round, heart","tan, olive, fair, light",warm
APRL_473,Men's Pleated Trousers,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_243.jpg,Men's Pleated Trousers,Adults,Not Specified,Polyester Blend,Mid-Range,Bottom wear,"Smooth fabric, Pleated",Male,Dark Olive Green,N/A,"business casual, formal, party, smart casual","rectangle, inverted triangle, apple, hourglass","oval, round, heart","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_474,Men's Jodhpuri Suit Jacket,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_244.jpg,Men's Jodhpuri Suit Jacket,Adults,L,Brocade Blend,"Mid-Range, High-Range",Top wear,"Patterned, Smooth fabric",Male,"Maroon, Cream",Full sleeves,"wedding, party, formal, festive, seasonal","rectangle, inverted triangle, apple","oval, round, square","dark, tan, olive, fair, light","warm, neutral"
APRL_475,Men's Formal Trousers,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_244.jpg,Men's Formal Trousers,Adults,L,Cotton Blend,Mid-Range,Bottom wear,Smooth fabric,Male,White,N/A,"wedding, party, formal, casual, seasonal","rectangle, inverted triangle, apple, pear","oval, round, square","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_476,Mens Kurta,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_245.jpg,Mens Kurta,Adults,L,Cotton Blend,Mid-Range,Top wear,"Smooth fabric, Woven pattern",Male,"Black, Multi-color striped",Full sleeves,"casual, party, wedding, formal, festive, seasonal","rectangle, inverted triangle, apple","oval, round, square","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_477,Men's Casual Shirt,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_246.jpg,Men's Casual Shirt,Adults,NA,Cotton Blend,Mid-Range,Top wear,Textured weave,Male,Light Green,Full sleeves,"casual, daily, smart casual","rectangle, inverted triangle, apple","oval, round, square, rectangular","fair, light, olive, tan","neutral, warm, cool"
APRL_478,Mens Thobe,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_247.jpg,Mens Thobe,Adults,L,Cotton Blend,Mid-Range,Top wear,"Smooth fabric, Embroidery",Male,Grey,3/4 sleeves,"casual, religious, formal, festive","rectangle, apple, inverted triangle","oval, round, rectangular","ebony, dark, tan, olive, fair, light","neutral, cool"
APRL_479,Women's Kaftan Abaya Dress,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_248.jpg,Women's Kaftan Abaya Dress,Adults,Free Size,"Crepe, Polyester Blend",Mid-Range,Overall,"Smooth fabric, Flowy",Female,"Navy Blue, Cream","Batwing sleeves, Long sleeves","casual, formal, religious gatherings, party","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_480,Women's Embroidered Traditional Suit,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_249.jpg,Women's Embroidered Traditional Suit,Adults,L,Cotton Blend,Mid-Range,"Top wear, Bottom wear, Dupatta","Smooth fabric, Intricate embroidery, Fringed border on dupatta",Female,Dark Teal,Full sleeves,"festive, party, formal, casual","rectangle, inverted triangle, apple, pear, hourglass","oval, round, square, heart, rectangular","fair, light, olive, tan, dark, ebony","warm, neutral, cool"
APRL_481,Sharara Suit,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_250.jpg,Sharara Suit,Adults,L,Faux Georgette,Mid-Range,"Top wear, Bottom wear","Smooth fabric, Embroidery",Female,Teal,Full sleeves,"wedding, party, festive, formal","rectangle, pear, apple, inverted triangle","oval, square, rectangular, heart","ebony, dark, tan, olive, fair, light","cool, neutral"
APRL_482,Embroidered Anarkali Gown with Dupatta,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_252.jpg,Embroidered Anarkali Gown with Dupatta,Adults,L,Georgette Blend,Mid-Range,Gown,"Smooth fabric, Intricate embroidery, Sequin work",Female,"Dark Green, Lime Green, Gold",Full sleeves,"Wedding, Party, Festive, Formal, Traditional","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_483,Women's Floral Print Sharara Suit Set,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_253.jpg,Women's Floral Print Sharara Suit Set,Adults,M,Rayon Blend,Mid-Range,Ethnic Set,"Smooth fabric, Floral print, Tiered",Female,"Yellow, Pink, Blue, Green",3/4 sleeves,"casual, festive, party, wedding","rectangle, hourglass, apple","oval, round, heart","fair, light, tan, olive","warm,neutral,cool"
APRL_484,Women's Kaftan Dress,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_254.jpg,Women's Kaftan Dress,Adults,Free size,Chiffon,Mid-Range,Full dress,"Smooth, Flowy, Gold Embroidery",Female,Purple,Full sleeves,"casual, party, festive, wedding, resort wear","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_485,Women's Embellished Kaftan Dress,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_255.jpg,Women's Embellished Kaftan Dress,Adults,L,Polyester Blend,Mid-Range,Dress,"Smooth fabric, Heavy Embellishment, Beadwork, Embroidery",Female,"Yellow, Gold, Multicolored Embellishments",Full sleeves,"party, wedding, formal, festive, special occasions","hourglass, rectangle, apple, pear, inverted triangle","oval, round, square","dark, tan, olive, light","warm, neutral"
APRL_486,Strapless Embellished Gown,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_256.jpg,Strapless Embellished Gown,Adults,L,Georgette,High-Range,Dress,"Smooth fabric, heavy embroidery, crystal/stone embellishments",Female,"Red, Silver, Gold, Blue",Strapless,"party, wedding, formal, festive, traditional events","hourglass, rectangle, inverted triangle","oval, round, heart, square","tan, olive, dark, fair, light","warm, neutral, cool"
APRL_487,Ethnic Embroidered Kaftan Gown,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_257.jpg,Ethnic Embroidered Kaftan Gown,Adults,L,Georgette,Mid-Range,Full dress,"Smooth fabric, Intricate Embroidery, Patterned",Female,"Maroon, Gold","Full sleeves, Kaftan sleeves","Party, Wedding, Festive, Formal","pear, apple, rectangle, inverted triangle","oval, round, heart","tan, olive, dark, fair","warm, neutral"
APRL_488,Embroidered Kaftan Dress,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_258.jpg,Embroidered Kaftan Dress,Adults,L,Georgette Blend,Mid-Range,Full Length Dress,"Smooth fabric, Intricate Embroidery, Flowy",Female,"Pink, Gold, White",Full sleeves,"Wedding, Party, Festive, Traditional, Formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_489,Women's Graphic T-shirt,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_259.jpg,Women's Graphic T-shirt,Adults,M,Cotton Blend,Mid-Range,Top wear,"Smooth fabric, Graphic print",Female,Brown,Short sleeves,"casual, daily, street wear","rectangle, pear, apple, hourglass","oval, round, square, heart, diamond, rectangular","tan, olive, fair, light","warm, neutral"
APRL_490,Embroidered Kaftan Gown,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_260.jpg,Embroidered Kaftan Gown,Adults,M,Chiffon Blend,Mid-Range,Gown,"Smooth fabric, Intricate Gold Embroidery, Flowy",Female,"Royal Blue, Gold",Full sleeves,"party, wedding, formal, festive, special occasion","hourglass, pear, rectangle, inverted triangle, apple","oval, round, square, heart, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_491,Men's Sherwani Set,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_261.jpg,Men's Sherwani Set,Adults,L,"Brocade, Silk Blend",Mid-Range,"Top wear, Bottom wear","Geometric pattern, Smooth fabric",Male,"Light Pink, Off-white",Full sleeves,"wedding, festive, party, ceremonial","rectangle, inverted triangle, apple","oval, square, rectangular","tan, olive, fair, light","warm, neutral"
APRL_492,Women's Palazzo Suit with Dupatta,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_262.jpg,Women's Palazzo Suit with Dupatta,Adults,L,Cotton Blend,Mid-Range,"Top wear, Bottom wear, Dupatta","Smooth fabric, Printed Dupatta, Lace trim",Female,Olive Green,Sleeveless,"casual, party, festive, wedding guest, formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral"
APRL_493,Embroidered Kaftan Dress,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_263.jpg,Embroidered Kaftan Dress,Adults,L,"Georgette Blend, Metallic Thread",Mid-Range,Dress,"Flowy fabric, Metallic embroidery, Textured trim",Female,"Dark Green, Gold",Full sleeves,"Formal, Party, Festive, Wedding, Special Occasion","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_494,Embroidered Kaftan Dress,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_264.jpg,Embroidered Kaftan Dress,Adults,M,Polyester Blend,Mid-Range,Dress,"Smooth fabric, Intricate embroidery",Female,"Light Blue, Gold",Full sleeves,"casual, party, festive, formal, wedding, seasonal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","fair, light, olive, tan","warm, neutral, cool"
APRL_495,Women's Lehenga Choli Set,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_265.jpg,Women's Lehenga Choli Set,Adults,Medium,"Georgette, Art Silk Blend","Mid-Range, High-Range",Lehenga Choli Set,"Smooth fabric, Embroidered, Floral print",Female,"Green, Pink, Gold",Sleeveless,"wedding, festive, party, ceremonial, engagement","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","fair, light, olive, tan","warm, neutral, cool"
APRL_496,Men's Dark Grey Track Pants,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_266.jpg,Men's Dark Grey Track Pants,Adults,L,Polyester Blend,Mid-Range,Bottom wear,Smooth fabric,Male,Dark Grey,N/A,"Gym, Workout, Casual, Sports, Activewear","rectangle, inverted triangle, apple, pear","oval, round, square","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_497,Men's Kurta Pajama Set,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_268.jpg,Men's Kurta Pajama Set,Adults,M,Cotton Blend,Mid-Range,"Top wear, Bottom wear","Embroidered, Smooth fabric",Male,White,Full sleeves,"casual, festive, wedding, formal","rectangle, inverted triangle, apple, pear, hourglass","oval, round, square, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_498,Mens Kurta,,https://res.cloudinary.com/dyrwl8j9r/image/upload/v1745604647/StyleWhizAi_apparel_dataset/new_1900/img_269.jpg,Mens Kurta,Adults,M,Cotton Blend,Mid-Range,Top wear,"Textured geometric pattern, subtle sheen",Male,Light Beige,Full sleeves,"casual, party, festive, wedding, semi-formal","rectangle, inverted triangle, apple, pear","oval, rectangular","tan, olive, dark, fair, light","warm, neutral, cool"
