filename,data
img_1_1.jpg,APRL_001,Women's Kurta Set,traditional,Adults,L,Cotton Blend,Mid-Range,"Top wear, Bottom wear, Dupatta","Smooth fabric, Embroidery, Woven pattern",Female,"Pink, White",Full sleeves,"casual, festive, party, wedding, formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","neutral, cool"
img_1_2.jpg,APRL_001,Embellished Velvet Caftan Robe,traditional,Adults,L,Velvet,Mid-Range,Full wear,"Soft, Plush Velvet, Sparkling Embellishments",Female,Green,Full sleeves,"Party, Formal, Festive, Special Occasion","pear, apple, inverted triangle, rectangle, hourglass","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","cool, neutral, warm"
img_138.jpg,APRL_001,Women's Kaftan Dress,ethnic,,Adults,L,Polyester Blend,Mid-Range,Dress,"Smooth fabric, Printed pattern",Female,"White, Red, Green, Gold",Batwing sleeves,"casual, party, festive, vacation, resort wear","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart","ebony, dark, tan, olive, fair, light",warm, neutral, cool
img_139.jpg,APRL_001,Women's Embellished Kaftan,ethnic, elegant, traditional, embellished,N/A,Adults,Free Size,Chiffon,Mid-Range,Full body wear,"Smooth, sheer fabric, Intricate embroidery, Embellished with beads",Female,"Royal Blue, Gold, Light Blue",Long Batwing sleeves,"party, wedding, formal, festive, traditional, evening wear","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_140.jpg,APRL_001,Strapless Embellished Gown,original image and crops,N/A,Adults,N/A,Georgette Blend,Mid-Range,Full length dress,"Smooth fabric, Embroidered, Embellished",Female,"Light Blue, Black","Sleeveless / Strapless","party, formal, wedding guest, evening wear","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","fair, light, tan, olive","cool, neutral"
img_142.jpg,APRL_001,Embroidered Caftan Gown,traditional,,Adults,Free Size,Chiffon Blend,High-Range,Dress/Gown,"Smooth fabric, Heavy embroidery, Beaded",Female,"Red, Gold, White",Full sleeves,"Formal, Wedding, Party, Festive, Cultural events","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral"
img_143.jpg,APRL_001,Women's Flared Yoga Pants,athletic_wear,N/A,Adults,"S,M,L,XL","Polyester Blend, Spandex Blend",Mid-Range,Bottom wear,Smooth fabric,Female,Black,N/A,"Yoga, Gym, Casual, Loungewear","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_144.jpg,APRL_003,Moroccan Kaftan Dress,traditional,placeholder_url_from_image_source,Adults,Free Size,"Polyester Blend, Intricate Embroidery",Mid-High Range,One-piece dress,"Textured base fabric, Intricate gold embroidery",Female,"White, Gold",Full sleeves,"Party, Wedding, Festive, Cultural events, Eid","hourglass, pear, apple, rectangle, inverted triangle","oval, round, square, heart, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_145.jpg,APRL_003,Men's Nehru Jacket with Kurta Set,traditional,,Adults,L,Art Silk Blend,Mid-Range,Top wear,"Textured, Smooth, Embroidered",Male,"Mint Green, Black",Full sleeves,"casual, party, wedding, formal, seasonal","rectangle, inverted triangle","oval, rectangular","tan, olive","neutral, cool"
img_146.jpg,APRL_001,Women's White Embroidered Tunic,"Ethnic, Casual",,Adults,M,"Cotton, Cotton Blend",Mid-Range,Top wear,"Embroidered, Textured, Soft",Female,White,"3/4 sleeves, Bell sleeves","casual, daily wear, summer, festive, ethnic","rectangle, pear, apple, inverted triangle, hourglass","oval, round, heart","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_002,Women's White Leggings,"Basic, Casual",,Adults,M,"Cotton, Spandex Blend",Mid-Range,Bottom wear,"Smooth, Stretchy",Female,White,N/A,"casual, daily wear, loungewear, ethnic","pear, hourglass, rectangle, inverted triangle",N/A,"ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_147.jpg,APRL_001,Women's Zipper Front Abaya,Modestwear,URL_PLACEHOLDER,Adults,L,Polyester Blend,Mid-Range,Dress,"Smooth fabric, flowing",Female,Maroon,Full sleeves,"casual, formal, religious, special occasion","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_149.jpg,APRL_001,Women's Embroidered Abaya Dress,traditional,image_url_placeholder,Adults,L,Polyester Blend,Mid-Range,Full-length dress,"Smooth fabric, Embroidery",Female,Dark Purple,"Full sleeves, Balloon sleeves","Daily wear, Religious, Casual, Semi-formal","rectangle, pear, apple, hourglass","oval, round, square","dark, tan, olive, light, fair","cool, neutral"
img_150.jpg,APRL_001,Women's Sharara Suit,,,Adults,L,Georgette,Mid-Range,Full Suit,"Smooth fabric, Heavy Embroidery, Sequence work",Female,"Magenta, Gold",Full sleeves,"Festivals, Weddings, Parties, Formal events","pear, hourglass, rectangle, apple","oval, round, square, heart","fair, light, olive, tan","cool, neutral"
img_151.jpg,APRL_001,Men's Straight Fit Trousers,product_shot,N/A,Adult,N/A,Corduroy,Mid-Range,Bottom wear,"Ribbed, Soft",Male,Beige,N/A,"casual, everyday, semi-formal","rectangle, apple, inverted triangle, pear","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_152.jpg,APRL_001,Jodhpuri Suit,traditional,,Adults,Not specified,"Silk Blend, Jacquard",High-Range,"Top wear, Bottom wear","Woven pattern, Smooth fabric",Male,Light Beige,Full sleeves,"Formal, Wedding, Party, Festive","rectangle, inverted triangle, apple, pear","oval, round, square, rectangular","fair, light, tan, olive, dark","warm, neutral"
img_153.jpg,APRL_001,Mens Kurta,traditional,full-length,,Adults,L,Silk Blend,Mid-Range,Top wear,"Smooth fabric, Embroidery on placket and collar",Male,Red,Full sleeves,"casual, festive, semi-formal, wedding, religious ceremony","pear, apple, inverted triangle, rectangle","oval, round, square, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_154.jpg,APRL_001,Men's Collared Shirt,"main_image, crop_1, crop_2, crop_3, crop_4",N/A,Adults,L,Cotton Blend,Mid-Range,Top wear,"Ribbed texture",Male,Brown,Full sleeves,"casual, everyday, smart-casual","rectangle, inverted triangle, apple","oval, round, square, rectangular","tan, olive, fair, light",warm,neutral
img_155.jpg,APRL_003,Men's Thobe,Product Photography,N/A,Adults,N/A,Cotton Blend,Mid-Range,Top wear,"Smooth fabric, Fine weave",Male,Light Blue,Full sleeves,"casual, formal, religious, festive","pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","cool, neutral, warm"
img_156.jpg,APRL_003,Women's Layered Abaya Dress,Abaya Style,N/A,Adults,M,"Crepe, Cotton Blend",Mid-Range,Full dress,"Smooth, Flowy",Female,"Black, Light Blue",Full sleeves,"daily, casual, formal, religious, festive","rectangle, apple, pear, hourglass, inverted triangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_157.jpg,APRL_001,Women's Embroidered Shalwar Kameez Suit,traditional,N/A,Adults,M,Cotton Blend,Mid-Range,Suit/Set,"Smooth fabric, Embroidered, Printed, Fringe detail",Female,"Maroon, Gold",Full sleeves,"festive, party, wedding, semi-formal, casual","rectangle, inverted triangle, hourglass, pear, apple","oval, round, square, heart, diamond, rectangular","fair, light, tan, olive, dark, ebony","warm, neutral, cool"
img_158.jpg,APRL_001,Women's Peplum Kurta with Sharara Set,main_image,,Adult,M,Cotton Blend,Mid-Range,"Top wear, Bottom wear","Printed, Smooth fabric",Female,"Cream, Blue","Long sleeves, Bell sleeves","casual, festive, party, semi-formal","hourglass, pear, rectangle, inverted triangle","oval, round, heart","tan, olive, fair, light",warm,neutral
img_159.jpg,APRL_001,Patiala Suit,traditional,,Adults,N/A,Silk Blend,Mid-Range,Ethnic Set,"Smooth fabric, Zari Embroidery, Sequins",Female,"Maroon, Gold",Three-quarter sleeves,"Festive, Party, Wedding, Cultural events","hourglass, pear, inverted triangle, rectangle","oval, round, square, heart, rectangular","dark, tan, olive, fair, light",neutral
img_160.jpg,APRL_003,Embroidered Anarkali Gown,main image,,Adults,N/A,"Net, Faux Georgette, Viscose",High-Range,Top wear,"Intricate embroidery, Smooth fabric, Sheer",Female,Maroon,3/4 sleeves,"wedding, party, festive, formal, cultural","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_161.jpg,APRL_001,Women's Embroidered Sharara Suit,traditional,,Adults,M,Rayon Blend, Chiffon,High-Range,"Top wear, Bottom wear","Embroidered, Mirror work, Smooth fabric, Embellished, Tasseled",Female,"Red, Multicolor",Full sleeves,"Wedding, Festival, Party, Festive, Engagement","hourglass, pear, rectangle, apple","oval, round, square","ebony, dark, tan, olive, fair, light","warm, neutral"
img_162.jpg,APRL_003,Women's Kaftan Dress,Abstract Print Kaftan,Adults,One Size,Rayon Blend,Mid-Range,Dress,"Smooth fabric, Abstract print, Lace trim",Female,"Multi-color (Blue, Orange, Yellow, Black, White)","3/4 sleeves, Kimono sleeves","Casual, Beachwear, Lounge wear, Summer, Resort wear","rectangle, apple, pear, inverted triangle, hourglass","oval, round, square, heart, rectangular","ebony, dark, tan, olive, fair, light",neutral
img_163.jpg,APRL_003,Women's Kaftan Dress,traditional,,Adults,Free size,Chiffon Blend,Mid-Range,Dress,"Smooth fabric, Intricate embroidery, Beaded embellishments",Female,Hot Pink,Long bell sleeves,"party, wedding, formal, cultural events, special occasions","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","tan, olive, dark, ebony, fair, light","warm, neutral, cool"
img_164.jpg,APRL_003,Embellished Strapless Gown,traditional,,Adults,L,"Georgette Blend, Embellished",High-End,Full dress,"Smooth fabric, Beaded, Embroidered",Female,"Peach, Gold",Strapless,"party, wedding, formal, gala, festive","hourglass, pear, apple, rectangle","oval, round, heart, diamond, rectangular","tan, olive, fair, light","warm, neutral"
img_165.jpg,APRL_003,Embellished Kaftan Abaya,traditional,,Adults,L,Chiffon Blend,Mid-Range,Full-length dress,"Smooth fabric, Sheer outer layer, Embroidery",Female,"Navy Blue, White, Gold",Long sleeves,"party, wedding, formal, festive","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_166.jpg,APRL_001,Women's Embroidered Caftan,Traditional,,Adults,M,Chiffon Blend, Beading,Mid-Range,High-End,Full-body garment,"Smooth fabric, Intricate embroidery, Pearl beading",Female,Red, Gold, Off-white,Full sleeves,"Formal, Party, Wedding, Cultural festivities, Evening wear","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral"
img_167.jpg,APRL_001,Men's Oversized T-shirt,oversized t-shirt,N/A,Adults,Oversized,Cotton Blend,Mid-Range,Top wear,Smooth knit fabric,Male,Black,Half sleeves,"casual, everyday, loungewear","rectangle, apple, pear, inverted triangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_168.jpg,APRL_001,Embellished Kaftan Dress,original,N/A,Adults,Free Size,Georgette with Zari Embroidery,High-Range,Top wear,"Smooth fabric, Intricate embroidery",Female,"Green, Gold, White",Full sleeves,"Formal, Party, Wedding, Festive, Cultural","rectangle, apple, pear, hourglass, inverted triangle","oval, round, square, heart, diamond, rectangular","fair, light, olive, tan","warm, neutral"
img_169.jpg,APRL_001,Men's Kurta with Nehru Jacket,"Traditional Indian Outfit, Kurta and Nehru Jacket",N/A,Adult,L,"Kurta: Art Silk/Silk Blend; Jacket: Linen Blend/Cotton Blend",Mid-Range,"Top wear, Bottom wear","Kurta: Smooth, sheen; Jacket: Textured",Male,"Kurta: Maroon/Burgundy; Jacket: Light Grey; Pants: Black","Kurta: Full sleeves; Jacket: Sleeveless","Festive, Wedding, Party, Semi-formal, Traditional","rectangle, inverted triangle, apple","oval, round, square","tan, olive, fair, light","warm, neutral"
img_170.jpg,APRL_001,Women's Anarkali Kurta Set,traditional,N/A,Adults,M,"Cotton Blend, Chiffon",Mid-Range,"Top wear, Bottom wear","Smooth fabric, Printed, Embellished",Female,"Light Blue",Full sleeves,"casual, party, festive, wedding","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","cool, neutral, warm"
img_171.jpg,APRL_001,Women's Abaya,abaya,Provided Image,Adults,L,Polyester Blend,Mid-Range,Full-body Outerwear,"Smooth, Flowy",Female,Maroon,Full sleeves,"Casual, Religious, Formal, Special occasions","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_172.jpg,APRL_003,Embroidered Abaya,traditional,input_image_reference,Adults,L,Polyester Blend,Mid-Range,Full-length garment,"Smooth fabric, Embroidery",Female,"Dark Teal with Gold Embroidery","Full sleeves, Balloon sleeves","Casual, Daily wear, Religious, Party, Festive","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light",neutral
img_173.jpg,APRL_001,Lehenga Choli Set,Lehenga Choli set with Dupatta,,Adults,N/A,"Silk Blend, Net",Mid-Range,"Top wear, Bottom wear","Smooth fabric, Intricate embroidery, Sheer",Female,"Yellow, Orange, Gold",Short sleeves,"wedding, festive, party, ceremonial","hourglass, pear, rectangle","oval, round, rectangular","tan, olive, fair, light","warm, neutral"
img_174.jpg,APRL_001,Men's Chinos,plain,N/A,Adults,M,Cotton Blend,Mid-Range,Bottom wear,Smooth fabric,Male,Khaki,N/A,"casual, semi-formal, daily","rectangle, inverted triangle, pear, apple",N/A,"fair, light, olive, tan, dark","warm, neutral"
img_175.jpg,APRL_003,Jodhpuri Suit,traditional,,Adults,L,Brocade, Silk Blend,Mid-Range,"Top wear, Bottom wear","Textured, Smooth fabric",Male,White,Full sleeves,"wedding, party, formal, festive","rectangle, inverted triangle, apple","oval, round, square","dark, tan, olive, fair, light",neutral
img_176.jpg,APRL_001,Men's Embroidered Kurta,traditional,https://i.imgur.com/yvK0wGf.jpeg,Adults,L,Cotton Blend,Mid-Range,Top wear,"Smooth fabric, Embroidery",Male,Black,Full sleeves,"casual, party, wedding, formal, festive, seasonal","rectangle, inverted triangle, apple, pear","oval, round, square, rectangular","ebony, dark, tan, olive, fair, light",neutral
img_177.jpg,APRL_001,Men's Striped Casual Shirt,Adults,L,Cotton Blend,Mid-Range,Top wear,"Seersucker, Striped, Crinkled",Male,"Blue, White",Full sleeves,"casual, beach, vacation, summer","rectangle, inverted triangle","rectangular, square",tan,"warm, neutral"
img_178.jpg,APRL_001,Men's Thobe,"minimalist, solid color",,Adults,L,Cotton Blend,Mid-Range,Full length garment,"subtle horizontal texture, smooth fabric",Male,Black,Full sleeves,"casual, religious, cultural, semi-formal","rectangle, apple, pear, inverted triangle, hourglass","oval, round, square, heart, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_179.jpg,APRL_001,Women's Abaya Dress,traditional,,Adults,Free Size,Georgette Blend,Mid-Range,Dress,"Smooth fabric, 3D floral appliques, Ruffled trim",Female,"Navy Blue, Coral","Batwing sleeves, Full sleeves","festive, party, special occasion","hourglass, pear, apple, inverted triangle, rectangle","oval, round, heart","fair, light, tan, olive, dark, ebony","neutral, cool, warm"
img_180.jpg,APRL_001,Women's Embroidered Kurta Set with Dupatta,traditional,N/A,Adults,M,Cotton Blend,Mid-Range,"Top wear, Bottom wear, Dupatta","Smooth fabric, Intricate embroidery, Fringed dupatta",Female,"Black, Gold, Beige",Full sleeves,"festive, party, formal, semi-formal, wedding","hourglass, rectangle, inverted triangle","oval, round, rectangular","tan, olive, fair, light","warm, neutral"
img_181.jpg,APRL_003,Women's Printed Kurti with Palazzo Set,Printed Kurti Palazzo Set,,Adults,L,Cotton Blend,Mid-Range,"Top wear, Bottom wear","Smooth fabric, Printed, Tiered",Female,"Turquoise, White","Bell sleeves, 3/4 sleeves","casual, festive, semi-formal","pear, apple, rectangle, hourglass","oval, rectangular, diamond","tan, olive, dark, fair, light","neutral, cool"
img_182.jpg,APRL_003,Embroidered Punjabi Suit,traditional,https://example.com/image.jpg,Adults,M,Georgette Blend,Mid-Range,"Top wear, Bottom wear, Dupatta","Smooth fabric, Embroidery",Female,Navy Blue,3/4th sleeves,"casual, party, wedding, festive, formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_183.jpg,APRL_001,Designer Anarkali Gown,traditional,N/A,Adults,L,"Net, Georgette Blend",Mid-Range,Dress,"Smooth fabric, Intricate Embroidery, Sequin Work",Female,"Navy Blue, White",Three-quarter sleeves,"Party, Wedding, Festive, Formal, Special Occasion","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart","tan, olive, fair, light, dark","cool, neutral, warm"
img_184.jpg,APRL_2122,Women's Sharara Suit,ethnic,provided_image_url,Adults,L,Georgette Blend,Mid-Range,Full Suit,"Printed fabric, Embellished, Bandhani-like",Female,"Pink, Purple, Ombre",Full sleeves,"casual, party, festive, wedding","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart","fair, light, tan, olive, dark, ebony","warm, neutral, cool"
img_185.jpg,APRL_001,Women's Embellished Kaftan,Green Embellished Kaftan, Full Length,N/A,Adults,Free size,Georgette Blend,Premium,Full-length dress,"Smooth fabric, Intricate embroidery, Flowy",Female,Emerald Green,Batwing Full sleeves,"Party, Wedding, Festive, Evening wear","rectangle, apple, pear, inverted triangle","oval, round, square","tan, olive, fair, light",warm
img_186.jpg,APRL_003,Embellished Kaftan Dress,traditional,N/A,Adults,Free Size,Chiffon Blend,High-End,"Full Body Wear, Dress","Sheer, Flowing fabric, Embroidered, Beaded",Female,"Purple, Gold","Full sleeves, Batwing sleeves","party, wedding, formal, festive, traditional, special occasion","rectangle, apple, inverted triangle, pear, hourglass","oval, round, heart","fair, light, olive, tan, dark","cool, neutral"
img_187.jpg,APRL_001,Strapless Evening Gown,Gown,,Adults,M,Chiffon,Mid-Range,Dress,"Smooth fabric, Sequins, Beads",Female,"Green, Black",Strapless,"Party, Wedding, Formal, Evening","hourglass, pear, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_188.jpg,APRL_001,Embellished Kaftan Dress,traditional,provided_image,Adults,Free Size,"Chiffon, Georgette, Embroidery, Beading",High-Range,Dress,"Smooth, Embroidered, Embellished",Female,"Red, Gold, Black",Full sleeves,"wedding, party, festive, formal, cultural events","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_189.jpg,APRL_001,Embroidered Kaftan,Ethnic wear,,Adults,Free Size,Chiffon,High-Range,Dress,"Smooth fabric, Heavy embroidery, Beading",Female,"Red, Gold","Full length, Flared","Party, Wedding, Formal, Festive, Evening wear","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral"
img_190.jpg,APRL_001,Women's Fleece Jacket,original,,Adults,M,Fleece,Mid-Range,Top wear,"Soft, Fluffy, Textured",Female,Light Grey,Full sleeves,"Casual, Winter, Layering","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_191.jpg,APRL_001,Women's Kaftan Gown,Traditional Dress Image,N/A,Adults,M,"Satin Blend, Embroidery",High-Range,Full-body wear,"Smooth, Shiny, Embroidered",Female,"Red, Gold",Full sleeves,"Formal, Party, Wedding, Festive, Cultural, Special Occasion","hourglass, rectangle, pear","oval, round, diamond, heart","fair, light, tan, olive","warm, neutral"
img_192.jpg,APRL_001A,Men's Kurta,traditional,,Adults,M,Cotton Blend,Mid-Range,Top wear,"Smooth fabric, subtle woven pattern",Male,White,Full sleeves,"casual, festive, party, wedding, seasonal","rectangle, inverted triangle, apple","oval, round, square, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
APRL_001B,Men's Nehru Jacket,traditional,,Adults,M,Silk Blend,Mid-Range,Top wear,"Textured fabric, smooth buttons, contrast piping",Male,"Blue, Black",Sleeveless,"party, wedding, formal, festive, seasonal","rectangle, inverted triangle, apple","oval, round, square, rectangular","dark, tan, olive, fair, light","warm, neutral, cool"
img_193.jpg,APRL_001,Women's Embroidered Kurta Set with Dupatta,model shot,N/A,Adults,M,Cotton Blend,Mid-Range,"Top wear, Bottom wear, Dupatta","Smooth fabric, Embroidered, Textured dupatta",Female,"Beige/Greige, Multi-color embroidery",3/4 sleeves,"casual, festive, semi-formal, party","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_194.jpg,APRL_001,Women's Modest Abaya Dress,modest wear,,Adults,L,Polyester Blend,Mid-Range,Dress,"Smooth fabric, Embroidery",Female,"Brown, Black (embroidery)",Full sleeves,"casual, daily wear, religious events, semi-formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral"
img_195.jpg,APRL_003,Embroidered Abaya with Hijab,traditional,Adults,Free Size,Polyester Blend,Mid-Range,Top wear,"Smooth fabric, Floral embroidery",Female,"Black, Gold",Full sleeves,"casual, party, formal, religious, festive","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light",warm
img_196.jpg,APRL_001,Lehenga Choli,traditional,,Adults,M,"Net, Satin lining, Sequin work","Mid-Range, High-End","Top wear, Bottom wear, Dupatta","Embroidered, Sequin, Smooth fabric, Flowy",Female,"Mauve Brown, Brown",Cap sleeves,"wedding, party, festive, formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, heart, square, rectangular","fair, light, tan, olive, dark","warm, neutral, cool"
img_197.jpg,APRL_001,Men's Black Joggers,lifestyle shot,https://example.com/mens_black_joggers.jpg,Adults,L,Cotton Blend,Mid-Range,Bottom wear,"Smooth fabric, Soft knit",Male,Black,,"casual, athleisure, workout","rectangle, inverted triangle, apple, pear",,"ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_198.jpg,APRL_003,Men's Jodhpuri Suit,traditional,N/A,Adults,L,"Brocade, Cotton Blend",High-Range,Top wear,"Patterned, Textured, Smooth",Male,"Multi-color (Blue, Brown, Grey, Cream), White",Full sleeves,"wedding, party, formal, traditional events","rectangle, inverted triangle, apple, pear","oval, round, square, rectangular","ebony, dark, tan, olive, fair, light","neutral, warm, cool"
img_199.jpg,APRL_003,Men's Kurta Pyjama Set,traditional,original_image_provided,Adults,L,Silk Blend,Mid-Range,"Top wear (Kurta), Bottom wear (Pyjama)","Smooth fabric, Embroidery",Male,"Light Blue (Kurta), White (Pyjama)",Full sleeves,"casual, festive, semi-formal, wedding","rectangle, inverted triangle","oval, square","tan, olive","warm, neutral"
img_200.jpg,APRL_001,Men's Striped Casual Shirt,original,N/A,Adults,N/A,Cotton Blend,Mid-Range,Top wear,"Smooth fabric, Vertical stripes",Male,"Blue, White",Full sleeves (rolled up),"casual, semi-formal, office, daily wear","rectangle, inverted triangle, apple","oval, round, square, rectangular","fair, light, tan, olive, dark","warm, neutral, cool"
img_201.jpg,APRL_003,Men's Kaftan Robe,traditional,,Adults,L,Cotton Blend,Mid-Range,Full-body garment,"Smooth fabric, subtle texture",Male,Beige,Full sleeves,"casual, religious, cultural, everyday wear","rectangle, inverted triangle, apple, pear, hourglass","oval, round, square, heart","tan, olive, fair, light","warm, neutral"
img_202.jpg,APRL_001,Abaya,traditional,,Adults,N/A,Polyester Blend,Mid-Range,Outerwear,"Smooth fabric, Embroidery",Female,Navy Blue,Bell sleeves,"casual, religious, formal, party","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_203.jpg,APRL_001,Women's Embroidered Kurta Set,"original_image, crop_1, crop_2, crop_3, crop_4",N/A,Adults,Not applicable,Cotton Blend,Mid-Range,"Top wear, Bottom wear","Smooth fabric, Intricate embroidery, Lace details",Female,"White, Pink, Green",Full sleeves,"casual, festive, semi-formal, wedding guest",rectangle, pear, apple, inverted triangle,oval, round, square, heart,fair, light, tan, olive,warm, neutral
img_204.jpg,APRL_001,Women's Kurta Sharara Set,"traditional, contemporary",,Adult,L,Cotton Blend,Mid-Range,"Top wear, Bottom wear","Smooth fabric, Printed",Female,"White, Teal Green",Three-quarter sleeves,"casual, festive, party, semi-formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, rectangular","ebony, dark, tan, olive, fair, light","neutral, cool"
img_205.jpg,APRL_001,Women's Embroidered Patiala Salwar Suit,Ethnic Wear,N/A,Adults,M,Georgette Blend,Mid-Range,"Top wear, Bottom wear, Dupatta","Smooth fabric, Zari Embroidery",Female,"Emerald Green, Gold",Three-quarter sleeves,"Festive, Wedding, Party, Formal","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_206.jpg,APRL_001,Women's Embroidered Anarkali Suit,traditional,original_image_provided,Adults,L,"Faux Georgette, Net",Mid-Range,Top wear,"Embroidered, Flowy",Female,"Purple, White",Three-quarter sleeves,"wedding, party, festive, formal","hourglass, pear, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral, cool"
img_207.jpg,APRL_001,Women's Printed Kurta Sharara Set with Dupatta,traditional,https://dagrs.berkeley.edu/sites/default/files/styles/alumni_profile_square/public/2020-04/example.jpg?itok=fU3m2l3N,Adults,L,Polyester Blend,Mid-Range,"Top wear, Bottom wear, Dupatta","Smooth fabric, Floral print, Striped texture, Gold print accents",Female,"Orange, Pink, Gold",3/4 sleeves,"casual, festive, party, wedding","hourglass, pear, apple, inverted triangle, rectangle","oval, round, square, heart, diamond, rectangular","dark, tan, olive, fair, light","warm, neutral"
img_208.jpg,APRL_001,Women's Embroidered Kaftan,traditional,https://i.imgur.com/example_image.jpg,Adults,Free Size,Georgette Blend,Mid-Range,Full-length Dress,"Smooth fabric, Flowy, Embroidery, Beading",Female,Yellow,"Kaftan sleeves, Full length","festive, party, wedding, special occasion, casual","hourglass, pear, apple, inverted triangle, rectangle","oval, round, heart","ebony, dark, tan, olive, fair, light","warm, neutral"
img_209.jpg,APRL_001,Embellished Maxi Dress,Modest fashion,,Adults,Free Size,Crepe,Mid-Range,Full-length dress,"Smooth fabric, Embellishments, Flowing",Female,Vibrant Yellow,"Puff sleeves, 3/4 length","Festive, Party, Formal, Wedding guest","apple, pear, rectangle, hourglass, inverted triangle","oval, round, square, heart, diamond, rectangular","ebony, dark, tan, olive, fair, light","warm, neutral"
img_210.jpg,APRL_001,Strapless Embellished Gown,main_image,original_image_url,Adults,M,Georgette with Embellishments,High-Range,Dress/Gown,"Embellished, Smooth, Flowy",Female,"Black, Yellow",Strapless,"party, evening wear, formal, wedding guest","hourglass, pear, rectangle, inverted triangle, apple","oval, round, square, heart, rectangular","fair, light, tan, olive, dark, ebony","warm, neutral"
